pairID,premise,hypothesis,explanation,selected_steps,explanation_category,note,Sentence1_Highlighted,Sentence2_Highlighted,gold_label
3856149623.jpg#1r1n,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is studying,Just because the doctor is looking through medical manuals doesn't mean she's studying.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},3,neutral
3856149623.jpg#1r1n,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is studying,The doctor and her assistant is studying medical manuals.,"[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,{},1,neutral
3827316480.jpg#0r1c,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall,There are either two people - a girl and another person - or there is a boy.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"16,2","1,2",contradiction
3827316480.jpg#0r1c,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall,A boy is not a tan girl.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"1,2",1,contradiction
3827316480.jpg#0r1c,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall,"The person is either a girl or boy, not both","[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,2,1,contradiction
3827316480.jpg#0r1e,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object,If the tan girl is running and leaning over an object then she runs and leans over an object.,"[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,"1,2,8,9,10,11,12,13","3,4,5,6,7",entailment
3827316480.jpg#0r1e,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object,A girl is running while leaning over an object.,"[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,"2,13,10,8","2,4,3",entailment
3827316480.jpg#0r1e,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object,A tan girl runs and leans over an object.,"[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,"2,13","1,5",entailment
3827316480.jpg#0r1n,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A man watches his daughter leap,The man and girl are in relation to each other and not strangers.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},"1,4",neutral
3827316480.jpg#0r1n,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A man watches his daughter leap,Just because he's sitting on the ground doesn't mean the man watches his daughter.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},2,neutral
3827316480.jpg#0r1n,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A man watches his daughter leap,Just because the man and a girl are wearing matching wool hats doesn't mean that she is the man's daughter.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},4,neutral
2946464027.jpg#0r1n,A young family enjoys feeling ocean waves lap at their feet.,A young man and woman take their child to the beach for the first time.,Just because a young family are by the ocean does not mean they are taking their child there for the first time.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},"11,12,13,14",neutral
2946464027.jpg#0r1n,A young family enjoys feeling ocean waves lap at their feet.,A young man and woman take their child to the beach for the first time.,We don't know that this is the first time the child's been to the beach.,"[{'step': 'Step 5: Does the explanation point out information not mentioned in the premise?', 'type': 'Absence of Mention'}]",Absence of Mention,,{},"13,14",neutral
2946464027.jpg#0r1n,A young family enjoys feeling ocean waves lap at their feet.,A young man and woman take their child to the beach for the first time.,The young family does not mean that they have a child at the beach.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},7,neutral
2946464027.jpg#0r1c,A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,"One says the family is inside the restaurant, while the other says they are feeling ocean waves.","[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,"5,6",6,contradiction
2946464027.jpg#0r1c,A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,If a family enjoys ocean waves they are not out at a restaurant.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"2,3,5,6","1,3,4,6",contradiction
2946464027.jpg#0r1c,A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,family can't be at restraint if feeling ocean waves,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"4,5,6","4,6",contradiction
2946464027.jpg#0r1e,A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.,ocean waves implies the beach.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"5,6",5,entailment
2946464027.jpg#0r1e,A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.,If a family has ocean waves lap at their feet then they are at the beach.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"5,6","3,4,5",entailment
2946464027.jpg#0r1e,A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.,"If you are where ocean waves lap at your feet, you are at the beach.","[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,"5,6,8,7,9,10",5,entailment
3572548523.jpg#4r1e,A couple walk hand in hand down a street.,A couple is walking together.,If a couple is walking hand in hand it is implied that they are walking together.,"[{'step': 'Step 4: Does the explanation rely on pragmatic cues like implicature or presupposition?', 'type': 'Pragmatic-level Inference'}]",Pragmatic-level Inference,,"2,3,4,5","4,3",entailment
3572548523.jpg#4r1e,A couple walk hand in hand down a street.,A couple is walking together.,"The couple are walking, it makes sense that they are walking together.","[{'step': 'Step 3: Does the explanation involve a change in sentence structure that preserves meaning?', 'type': 'Paraphrastic Inference (Syntactic)'}]",Syntactic-level Inference,,"1,2","1,3",entailment
3572548523.jpg#4r1e,A couple walk hand in hand down a street.,A couple is walking together.,A couple walking hand in hand is a sign of affection.,"[{'step': 'Step 7: Does the explanation rely on commonsense, factual, or domain-specific knowledge?', 'type': 'Factual Knowledge'}]",Factual Knowledge,,"1,2,3,4,5",4,entailment
3572548523.jpg#4r1n,A couple walk hand in hand down a street.,The couple is married.,Just because the couple is hand in hand doesn't mean they are married.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},3,neutral
3572548523.jpg#4r1n,A couple walk hand in hand down a street.,The couple is married.,Just because the couple is walking hand in hand doesn't mean they're married.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},3,neutral
3572548523.jpg#4r1n,A couple walk hand in hand down a street.,The couple is married.,The couple walking down the street holding hands does not mean that they are married.,"[{'step': 'Step 8: Does the explanation rely on real-world logical or causal reasoning?', 'type': 'World-Informed Logical Reasoning'}]",World-Informed Logical Reasoning,,{},3,neutral
3572548523.jpg#4r1c,A couple walk hand in hand down a street.,A couple is sitting on a bench.,The couple cannot be walking and sitting a the same time.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,2,3,contradiction
3572548523.jpg#4r1c,A couple walk hand in hand down a street.,A couple is sitting on a bench.,A couple can't both be sitting and walking.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,2,3,contradiction
3572548523.jpg#4r1c,A couple walk hand in hand down a street.,A couple is sitting on a bench.,Sitting is not the same as walking.,"[{'step': 'Step 6: Does the explanation refer to logical constraints or conflict?', 'type': 'Logical Conflict'}]",Logical Structure Conflict,,2,3,contradiction
